,text_similarity,text1,text2,tarun cut?,tarun notes,bria notes,martin notes,aoa_word1,aoa_word2,image_similarity,source,image1,image2,aoa_source,filename
1,0.818359375,acorn,coconut,,,,,5.95,6.5,0.7622070313,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
10,0.7446289063,acorn,key,,,,,5.95,3.58,0.6157226563,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
72,0.823,bed,bowl,prob cut,,,,1.74,1.87,0.6313,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/bed.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/bowl.jpg,Wordbank,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/bed_bowl.png
17,0.8696,airplane,train,cut,"re-used airplane below, gets tricky if sticking with vehicle-vehicle pairings only",,"airplane perspective is kinda atypical but ok? Train is German, how similar is this to US trains?",3.94,4,0.703,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/airplane.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/train.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/airplane_train.png
6,0.8901367188,snail,worm,,,,,5.79,3.89,0.6889648438,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
8,0.7919921875,snail,cow,,,,,5.79,3.94,0.6459960938,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
18,0.6885,airplane,washcloth,cut,,,washcloth is hard without broader context for size comparison,3.94,4.17,0.5547,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/airplane.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/washcloth.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/airplane_washcloth.png
19,0.6177,backpack,icicle,cut,,,icicle is probably too hard a word?,5.38,5.78,0.65,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/backpack.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/icicle.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/backpack_icicle.png
3,0.8579101563,bulldozer,tractor,,,,,5.61,5.5,0.6909179688,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
15,0.7094726563,bulldozer,orange,,,,,5.61,3.26,0.5078125,exp1,NA,NA,NA,https://ucsdlearninglabs.org/all_stimuli/
20,0.877,backpack,purse,cut,,,backpack is not a great match for kids and perspective is tricky; purse is a much more salient color,5.38,5.53,0.657,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/backpack.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/purse.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/backpack_purse.png
24,0.818,balloon,lamp,cut,,,"ok, but I don't love the big light/dark difference here",4.37,4,0.6694,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/balloon.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/lamp.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/balloon_lamp.png
26,0.79,beaver,seal,cut,,,beaver is probably a really hard word,5.21,5.42,0.755,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/beaver.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/seal.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/beaver_seal.png
27,0.656,beaver,zebra,cut,,,beaver is probably a really hard word,5.21,4.79,0.6597,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/beaver.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/zebra.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/beaver_zebra.png
28,0.7715,bed,soap,cut,,,"maybe avoid; kind of odd soap, could almost look like candy to a kid...",2.89,3.17,0.5864,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/bed.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/soap.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/bed_soap.png
29,0.9214,bus,truck,cut,"re-used truck below, if sticking with pairing issues this gets tricky",,very hard! but maybe interesting because of the text/image similarity divergence,3.85,3.79,0.5254,exp2,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/bus.jpg,https://ucsdlearninglabs.org/all_stimuli/THINGSplus/truck.jpg,Kuperman,https://ucsdlearninglabs.org/all_stimuli/vvi_exp2_images/bus_truck.png
